yashbaldha       72267   0.6  0.7 1892256960 123328   ??  S    Wed04PM  13:51.65 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Plugin).app/Contents/MacOS/Code Helper (Plugin) --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --dns-result-order=ipv4first --experimental-network-inspection --inspect-port=0 --user-data-dir=/Users/yashbaldha/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,3916782510834438631,13019982438285293863,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190709003178624776
yashbaldha        4238   0.0  0.0 436151984   4192   ??  S    10:28AM   0:05.65 node /Users/yashbaldha/Desktop/Boldteq App/InkOS/.next/dev/build/postcss.js 49701
yashbaldha        4226   0.0  1.2 462575344 217968   ??  S    10:28AM   3:34.08 next-server (v16.2.3) 
yashbaldha        4220   0.0  0.0 446322080   4176   ??  S    10:28AM   0:00.24 node /Users/yashbaldha/Desktop/Boldteq App/InkOS/node_modules/.bin/../next/dist/bin/next dev -p 3100
yashbaldha        4208   0.0  0.0 435862576   4176   ??  S    10:28AM   0:00.47 node /Users/yashbaldha/.nvm/versions/node/v20.20.1/bin/pnpm dev
yashbaldha         147   0.0  0.1 1907222320  17104   ??  S    10:17AM   0:03.62 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Plugin).app/Contents/MacOS/Code Helper (Plugin) /Users/yashbaldha/.vscode/extensions/ms-azuretools.vscode-containers-2.4.1/dist/compose-language-service/lib/server.js --node-ipc --node-ipc --clientProcessId=72267
yashbaldha         146   0.0  0.1 1890445328  16336   ??  S    10:17AM   0:03.25 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Plugin).app/Contents/MacOS/Code Helper (Plugin) /Users/yashbaldha/.vscode/extensions/ms-azuretools.vscode-containers-2.4.1/dist/dockerfile-language-server-nodejs/lib/server.js --node-ipc --node-ipc --clientProcessId=72267
yashbaldha       96930   0.0  0.1 1907222384  14096   ??  S    10:08AM   0:03.38 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Plugin).app/Contents/MacOS/Code Helper (Plugin) /Users/yashbaldha/.vscode/extensions/github.vscode-github-actions-0.31.3/dist/server-node.js --node-ipc --clientProcessId=72267
yashbaldha        7900   0.0  0.0 446091872   8320   ??  S     5:02AM   0:00.22 /Users/yashbaldha/.nvm/versions/node/v18.20.8/bin/node /Users/yashbaldha/Library/Application Support/Claude/Claude Extensions/ant.dir.gh.microsoft.clarity-mcp-server/dist/index.js
yashbaldha        7899   0.0  0.0 435298832    544   ??  S     5:02AM   0:00.00 /Applications/Claude.app/Contents/Helpers/disclaimer /Users/yashbaldha/.nvm/versions/node/v18.20.8/bin/node /Users/yashbaldha/Library/Application Support/Claude/Claude Extensions/ant.dir.gh.microsoft.clarity-mcp-server/dist/index.js
yashbaldha        7894   0.0  0.0 435599856   8240   ??  S     5:02AM   0:00.21 /Users/yashbaldha/.nvm/versions/node/v18.20.8/bin/node /Users/yashbaldha/Library/Application Support/Claude/Claude Extensions/ant.dir.ant.anthropic.chrome-control/server/index.js
yashbaldha        7893   0.0  0.0 435299552    544   ??  S     5:02AM   0:00.00 /Applications/Claude.app/Contents/Helpers/disclaimer /Users/yashbaldha/.nvm/versions/node/v18.20.8/bin/node /Users/yashbaldha/Library/Application Support/Claude/Claude Extensions/ant.dir.ant.anthropic.chrome-control/server/index.js
